Headline,Date
India stocks lower at close of trade; Nifty 50 down 0.11%,2024-11-11
India stocks lower at close of trade; Nifty 50 down 0.15%,2024-10-23
India stocks lower at close of trade; Nifty 50 down 0.89%,2024-10-17
India stocks lower at close of trade; Nifty 50 down 0.14%,2024-09-27
"Morgan Stanley cuts Power Grid Corp to Equalweight, raises target",2024-09-26
India stocks higher at close of trade; Nifty 50 up 0.25%,2024-09-25
India stocks mixed at close of trade; Nifty 50 up 0.01%,2024-09-24
India stocks higher at close of trade; Nifty 50 up 1.35%,2024-08-07
India stocks higher at close of trade; Nifty 50 up 0.21%,2024-08-01
"Power Grid stock upgraded to hold by Investec, citing asset capitalization growth",2024-07-30
India stocks lower at close of trade; Nifty 50 down 0.11%,2024-11-11
India stocks lower at close of trade; Nifty 50 down 0.15%,2024-10-23
India stocks lower at close of trade; Nifty 50 down 0.89%,2024-10-17
India stocks lower at close of trade; Nifty 50 down 0.14%,2024-09-27
"Morgan Stanley cuts Power Grid Corp to Equalweight, raises target",2024-09-26
India stocks higher at close of trade; Nifty 50 up 0.25%,2024-09-25
India stocks mixed at close of trade; Nifty 50 up 0.01%,2024-09-24
India stocks higher at close of trade; Nifty 50 up 1.35%,2024-08-07
India stocks higher at close of trade; Nifty 50 up 0.21%,2024-08-01
"Power Grid stock upgraded to hold by Investec, citing asset capitalization growth",2024-07-30
India stocks higher at close of trade; Nifty 50 up 1.15%,2025-04-21
India stocks higher at close of trade; Nifty 50 up 1.69%,2025-04-08
India stocks lower at close of trade; Nifty 50 down 0.35%,2025-04-03
JPMorgan initiates Power Grid Corp with overweight rating,2025-03-26
India stocks lower at close of trade; Nifty 50 down 0.49%,2025-03-10
India stocks lower at close of trade; Nifty 50 down 0.78%,2025-02-10
India stocks higher at close of trade; Nifty 50 up 0.58%,2025-01-30
India stocks higher at close of trade; Nifty 50 up 0.23%,2025-01-15
India stocks higher at close of trade; Nifty 50 up 0.87%,2024-11-29
India stocks lower at close of trade; Nifty 50 down 0.73%,2024-11-21
India stocks lower at close of trade; Nifty 50 down 0.11%,2024-11-11
India stocks lower at close of trade; Nifty 50 down 0.15%,2024-10-23
India stocks lower at close of trade; Nifty 50 down 0.89%,2024-10-17
India stocks lower at close of trade; Nifty 50 down 0.14%,2024-09-27
"Morgan Stanley cuts Power Grid Corp to Equalweight, raises target",2024-09-26
India stocks higher at close of trade; Nifty 50 up 0.25%,2024-09-25
India stocks mixed at close of trade; Nifty 50 up 0.01%,2024-09-24
India stocks higher at close of trade; Nifty 50 up 1.35%,2024-08-07
India stocks higher at close of trade; Nifty 50 up 0.21%,2024-08-01
"Power Grid stock upgraded to hold by Investec, citing asset capitalization growth",2024-07-30
India stocks higher at close of trade; Nifty 50 up 1.15%,2025-04-21
India stocks higher at close of trade; Nifty 50 up 1.69%,2025-04-08
India stocks lower at close of trade; Nifty 50 down 0.35%,2025-04-03
JPMorgan initiates Power Grid Corp with overweight rating,2025-03-26
India stocks lower at close of trade; Nifty 50 down 0.49%,2025-03-10
India stocks lower at close of trade; Nifty 50 down 0.78%,2025-02-10
India stocks higher at close of trade; Nifty 50 up 0.58%,2025-01-30
India stocks higher at close of trade; Nifty 50 up 0.23%,2025-01-15
India stocks higher at close of trade; Nifty 50 up 0.87%,2024-11-29
India stocks lower at close of trade; Nifty 50 down 0.73%,2024-11-21
India stocks lower at close of trade; Nifty 50 down 0.14%,2025-06-02
India stocks higher at close of trade; Nifty 50 up 0.60%,2025-05-26
India stocks higher at close of trade; Nifty 50 up 0.99%,2025-05-23
India stocks higher at close of trade; Nifty 50 up 0.52%,2025-05-21
India stocks lower at close of trade; Nifty 50 down 0.30%,2025-05-19
India stocks lower at close of trade; Nifty 50 down 1.39%,2025-05-13
India stocks lower at close of trade; Nifty 50 down 1.10%,2025-05-09
India stocks lower at close of trade; Nifty 50 down 0.01%,2025-04-30
India stocks mixed at close of trade; Nifty 50 down 0.02%,2025-04-29
India stocks higher at close of trade; Nifty 50 up 0.17%,2025-04-22
India stocks lower at close of trade; Nifty 50 down 0.11%,2024-11-11
India stocks lower at close of trade; Nifty 50 down 0.15%,2024-10-23
India stocks lower at close of trade; Nifty 50 down 0.89%,2024-10-17
India stocks lower at close of trade; Nifty 50 down 0.14%,2024-09-27
"Morgan Stanley cuts Power Grid Corp to Equalweight, raises target",2024-09-26
India stocks higher at close of trade; Nifty 50 up 0.25%,2024-09-25
India stocks mixed at close of trade; Nifty 50 up 0.01%,2024-09-24
India stocks higher at close of trade; Nifty 50 up 1.35%,2024-08-07
India stocks higher at close of trade; Nifty 50 up 0.21%,2024-08-01
"Power Grid stock upgraded to hold by Investec, citing asset capitalization growth",2024-07-30
India stocks higher at close of trade; Nifty 50 up 1.15%,2025-04-21
India stocks higher at close of trade; Nifty 50 up 1.69%,2025-04-08
India stocks lower at close of trade; Nifty 50 down 0.35%,2025-04-03
JPMorgan initiates Power Grid Corp with overweight rating,2025-03-26
India stocks lower at close of trade; Nifty 50 down 0.49%,2025-03-10
India stocks lower at close of trade; Nifty 50 down 0.78%,2025-02-10
India stocks higher at close of trade; Nifty 50 up 0.58%,2025-01-30
India stocks higher at close of trade; Nifty 50 up 0.23%,2025-01-15
India stocks higher at close of trade; Nifty 50 up 0.87%,2024-11-29
India stocks lower at close of trade; Nifty 50 down 0.73%,2024-11-21
India stocks lower at close of trade; Nifty 50 down 0.14%,2025-06-02
India stocks higher at close of trade; Nifty 50 up 0.60%,2025-05-26
India stocks higher at close of trade; Nifty 50 up 0.99%,2025-05-23
India stocks higher at close of trade; Nifty 50 up 0.52%,2025-05-21
India stocks lower at close of trade; Nifty 50 down 0.30%,2025-05-19
India stocks lower at close of trade; Nifty 50 down 1.39%,2025-05-13
India stocks lower at close of trade; Nifty 50 down 1.10%,2025-05-09
India stocks lower at close of trade; Nifty 50 down 0.01%,2025-04-30
India stocks mixed at close of trade; Nifty 50 down 0.02%,2025-04-29
India stocks higher at close of trade; Nifty 50 up 0.17%,2025-04-22
Power Grid Corp of India Ltd receives Investment Bank Analyst Rating Update,2025-12-22
India stocks higher at close of trade; Nifty 50 up 0.13%,2025-08-21
India stocks higher at close of trade; Nifty 50 up 0.42%,2025-08-19
Power Grid stock rating upgraded to Neutral by BofA on fair valuation,2025-08-10
India stocks higher at close of trade; Nifty 50 up 0.64%,2025-08-04
India stocks higher at close of trade; Nifty 50 up 0.14%,2025-07-30
India stocks lower at close of trade; Nifty 50 down 0.90%,2025-07-25
India stocks higher at close of trade; Nifty 50 up 0.29%,2025-06-24
India stocks higher at close of trade; Nifty 50 up 0.15%,2025-06-11
India stocks higher at close of trade; Nifty 50 up 0.53%,2025-06-05
