Headline,Date
India stocks lower at close of trade; Nifty 50 down 0.37%,2025-06-17
India stocks higher at close of trade; Nifty 50 up 0.92%,2025-06-16
India stocks lower at close of trade; Nifty 50 down 0.68%,2025-06-13
India stocks higher at close of trade; Nifty 50 up 1.02%,2025-06-06
India stocks higher at close of trade; Nifty 50 up 0.33%,2025-05-29
India stocks lower at close of trade; Nifty 50 down 0.70%,2025-05-27
India stocks higher at close of trade; Nifty 50 up 0.99%,2025-05-23
"Kotak cuts Sun Pharma stock target to INR 1,875, retains Add rating",2025-05-23
India stocks higher at close of trade; Nifty 50 up 0.52%,2025-05-21
India stocks lower at close of trade; Nifty 50 down 1.39%,2025-05-13
India stocks lower at close of trade; Nifty 50 down 0.37%,2025-06-17
India stocks higher at close of trade; Nifty 50 up 0.92%,2025-06-16
India stocks lower at close of trade; Nifty 50 down 0.68%,2025-06-13
India stocks higher at close of trade; Nifty 50 up 1.02%,2025-06-06
India stocks higher at close of trade; Nifty 50 up 0.33%,2025-05-29
India stocks lower at close of trade; Nifty 50 down 0.70%,2025-05-27
India stocks higher at close of trade; Nifty 50 up 0.99%,2025-05-23
"Kotak cuts Sun Pharma stock target to INR 1,875, retains Add rating",2025-05-23
India stocks higher at close of trade; Nifty 50 up 0.52%,2025-05-21
India stocks lower at close of trade; Nifty 50 down 1.39%,2025-05-13
India stocks higher at close of trade; Nifty 50 up 0.14%,2025-07-30
India stocks lower at close of trade; Nifty 50 down 0.90%,2025-07-25
Morgan Stanley lists 3 ’actionable ideas’ in Asian markets,2025-07-24
India stocks lower at close of trade; Nifty 50 down 0.63%,2025-07-24
India stocks higher at close of trade; Nifty 50 up 0.06%,2025-07-16
India stocks higher at close of trade; Nifty 50 up 0.45%,2025-07-15
Sun Pharmaceutical stock initiated with Overweight rating by Morgan Stanley,2025-07-14
India stocks lower at close of trade; Nifty 50 down 0.81%,2025-07-11
Lilly to launch Mounjaro pen in India as Novo rivalry heats up in mega market,2025-06-26
FTSE 100 today: Index edges up as U.K. inflation cools in May; pharma stocks slip,2025-06-18
