Headline,Date
India stocks lower at close of trade; Nifty 50 down 0.03%,2024-07-11
India stocks higher at close of trade; Nifty 50 up 0.42%,2024-07-09
India stocks higher at close of trade; Nifty 50 up 0.67%,2024-07-03
India stocks higher at close of trade; Nifty 50 up 2.05%,2024-06-07
India stocks lower at close of trade; Nifty 50 down 0.05%,2024-05-24
India stocks higher at close of trade; Nifty 50 up 0.92%,2024-05-16
India stocks higher at close of trade; Nifty 50 up 0.51%,2024-05-14
India stocks higher at close of trade; Nifty 50 up 0.19%,2024-05-02
India stocks higher at close of trade; Nifty 50 up 0.15%,2024-04-24
"Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral",2024-04-23
India stocks lower at close of trade; Nifty 50 down 0.03%,2024-07-11
India stocks higher at close of trade; Nifty 50 up 0.42%,2024-07-09
India stocks higher at close of trade; Nifty 50 up 0.67%,2024-07-03
India stocks higher at close of trade; Nifty 50 up 2.05%,2024-06-07
India stocks lower at close of trade; Nifty 50 down 0.05%,2024-05-24
India stocks higher at close of trade; Nifty 50 up 0.92%,2024-05-16
India stocks higher at close of trade; Nifty 50 up 0.51%,2024-05-14
India stocks higher at close of trade; Nifty 50 up 0.19%,2024-05-02
India stocks higher at close of trade; Nifty 50 up 0.15%,2024-04-24
"Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral",2024-04-23
India stocks lower at close of trade; Nifty 50 down 0.21%,2024-12-09
India stocks lower at close of trade; Nifty 50 down 0.02%,2024-11-14
India stocks lower at close of trade; Nifty 50 down 0.48%,2024-10-30
"""Underwhelming"" Q2 leads JPMorgan to cut Tata Consumer stock target",2024-10-21
India stocks higher at close of trade; Nifty 50 up 0.25%,2024-09-25
India stocks higher at close of trade; Nifty 50 up 0.17%,2024-08-22
India stocks lower at close of trade; Nifty 50 down 0.85%,2024-08-13
India stocks lower at close of trade; Nifty 50 down 2.70%,2024-08-05
India stocks lower at close of trade; Nifty 50 down 0.16%,2024-07-24
India stocks lower at close of trade; Nifty 50 down 0.12%,2024-07-23
