Headline,Date
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2025-10-13
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2025-10-10
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2025-10-10
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2025-10-10
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2025-10-10
Tata Consultancy Services Ltd. receives Investment Bank Analyst Rating Update,2025-10-10
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2025-10-10
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2025-10-06
Tata Consultancy Services Ltd. receives Investment Bank Analyst Rating Update,2025-10-06
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2025-10-03
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2025-10-13
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2025-10-10
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2025-10-10
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2025-10-10
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2025-10-10
Tata Consultancy Services Ltd. receives Investment Bank Analyst Rating Update,2025-10-10
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2025-10-10
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2025-10-06
Tata Consultancy Services Ltd. receives Investment Bank Analyst Rating Update,2025-10-06
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2025-10-03
TPG Inc. approves long-term equity awards for CEO and senior executives,2025-12-22
Tata Consultancy in talks with OpenAI for AI infrastructure partnership,2025-12-04
Valuation reset hits Indian IT; Jefferies sees selective buys in mid-caps,2025-11-28
Tata Consultancy Services to form $2 billion AI joint venture with TPG - report,2025-11-20
Earnings call transcript: TCS Q2 2026 reveals AI focus amid steady growth,2025-11-20
"Amazon, Google named by EU among ’critical’ tech providers for finance industry",2025-11-18
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2025-11-18
"TCS Q1 FY26 slides: Revenue growth slows, margins improve amid market headwinds",2025-11-06
TCS and Box form partnership for content management services,2025-10-21
"Earnings call transcript: TCS Q2 2025 misses EPS forecast, revenue beats",2025-10-14
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2025-10-13
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2025-10-10
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2025-10-10
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2025-10-10
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2025-10-10
Tata Consultancy Services Ltd. receives Investment Bank Analyst Rating Update,2025-10-10
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2025-10-10
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2025-10-06
Tata Consultancy Services Ltd. receives Investment Bank Analyst Rating Update,2025-10-06
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2025-10-03
TPG Inc. approves long-term equity awards for CEO and senior executives,2025-12-22
Tata Consultancy in talks with OpenAI for AI infrastructure partnership,2025-12-04
Valuation reset hits Indian IT; Jefferies sees selective buys in mid-caps,2025-11-28
Tata Consultancy Services to form $2 billion AI joint venture with TPG - report,2025-11-20
Earnings call transcript: TCS Q2 2026 reveals AI focus amid steady growth,2025-11-20
"Amazon, Google named by EU among ’critical’ tech providers for finance industry",2025-11-18
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2025-11-18
"TCS Q1 FY26 slides: Revenue growth slows, margins improve amid market headwinds",2025-11-06
TCS and Box form partnership for content management services,2025-10-21
"Earnings call transcript: TCS Q2 2025 misses EPS forecast, revenue beats",2025-10-14
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2026-01-05
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2026-01-05
Tata Consultancy Services Ltd. receives Investment Bank Analyst Rating Update,2026-01-05
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2026-01-05
HCL Technologies stock downgraded to Hold by CLSA despite price target increase,2026-01-02
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2026-01-02
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2026-01-01
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2026-01-01
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2026-01-01
Tata Consultancy Services Ltd. receives Investment Bank Analyst Rating Update,2026-01-01
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2025-10-13
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2025-10-10
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2025-10-10
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2025-10-10
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2025-10-10
Tata Consultancy Services Ltd. receives Investment Bank Analyst Rating Update,2025-10-10
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2025-10-10
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2025-10-06
Tata Consultancy Services Ltd. receives Investment Bank Analyst Rating Update,2025-10-06
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2025-10-03
TPG Inc. approves long-term equity awards for CEO and senior executives,2025-12-22
Tata Consultancy in talks with OpenAI for AI infrastructure partnership,2025-12-04
Valuation reset hits Indian IT; Jefferies sees selective buys in mid-caps,2025-11-28
Tata Consultancy Services to form $2 billion AI joint venture with TPG - report,2025-11-20
Earnings call transcript: TCS Q2 2026 reveals AI focus amid steady growth,2025-11-20
"Amazon, Google named by EU among ’critical’ tech providers for finance industry",2025-11-18
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2025-11-18
"TCS Q1 FY26 slides: Revenue growth slows, margins improve amid market headwinds",2025-11-06
TCS and Box form partnership for content management services,2025-10-21
"Earnings call transcript: TCS Q2 2025 misses EPS forecast, revenue beats",2025-10-14
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2026-01-05
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2026-01-05
Tata Consultancy Services Ltd. receives Investment Bank Analyst Rating Update,2026-01-05
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2026-01-05
HCL Technologies stock downgraded to Hold by CLSA despite price target increase,2026-01-02
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2026-01-02
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2026-01-01
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2026-01-01
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2026-01-01
Tata Consultancy Services Ltd. receives Investment Bank Analyst Rating Update,2026-01-01
Appeals court upholds $194 million award for DXC in trade secrets case,2026-01-14
TCS and AMD form strategic partnership to scale enterprise AI adoption,2026-01-14
Investec raises Tata Consultancy Services stock price target on growth outlook,2026-01-13
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2026-01-13
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2026-01-13
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2026-01-13
"TCS Q3 FY26 presentation: Stable margins amid modest growth, AI focus continues",2026-01-12
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2026-01-07
Jefferies urges selectivity in Indian IT for 2026 as growth risks cap valuations,2026-01-06
Tata Consultancy Services receives Investment Bank Analyst Rating Update,2026-01-05
