Headline,Date
CLSA downgrades Wipro stock rating to Hold on weak guidance,2025-10-20
Wipro Ltd receives Investment Bank Analyst Rating Update,2025-10-20
Wipro Ltd receives Investment Bank Analyst Rating Update,2025-10-20
CFRA lowers Wipro stock price target to $3.00 on growth concerns,2025-10-17
Wipro receives Investment Bank Analyst Rating Update,2025-10-17
Wipro Ltd receives Investment Bank Analyst Rating Update,2025-10-17
Kotak maintains Wipro at 'sell' with a price target of ₹230.00,2025-10-17
ICICI Securities maintains Wipro at 'reduce' with a price target of ₹240.00,2025-10-17
Wipro Ltd. receives Investment Bank Analyst Rating Update,2025-10-17
Wipro Ltd receives Investment Bank Analyst Rating Update,2025-10-17
