Company Name,Industry,Symbol,Series,ISIN Code,Keyword,Link,L_limit
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,INE721A01013,ShriramFinance,shriram-transport-finance-news,13
State Bank of India,Financial Services,SBIN,EQ,INE062A01020,SBI,state-bank-of-india-news,53
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036,SunPharma,sun-pharma-advanced-research-news,46
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029,TCS,tata-consultancy-services-news,66
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025,TataConsumer ,tata-global-beverages-news,5
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS,EQ,INE155A01022,TataMoto,tata-motors-ltd-news,70
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020,TataSteel,tata-steel-news,60
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036,TechMahindra,tech-mahindra-news,36
Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028,Titan,titan-industries-news,28
Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020,Trent,trent-news,4
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,INE481G01011,UltraTech,ultratech-cement-news,31
Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022,Wipro,wipro-ltd-news,35
