Date,Headlines
2020-01-01,"['Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral', 'Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral']"
2020-01-02,"['Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral', 'Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral']"
2020-01-03,"['Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral', 'Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral']"
2020-01-04,"['Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral', 'Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral']"
2020-01-05,"['Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral', 'Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral']"
2020-01-06,"['Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral', 'Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral']"
2020-01-07,"['Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral', 'Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral']"
2020-01-08,"['Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral', 'Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral']"
2020-01-09,"['Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral', 'Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral']"
2020-01-10,"['Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral', 'Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral']"
2020-01-11,"['Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral', 'Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral']"
2020-01-12,"['Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral', 'Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral']"
2020-01-13,"['Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral', 'Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral']"
2020-01-14,"['Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral', 'Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral']"
2020-01-15,"['Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral', 'Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral']"
2020-01-16,"['Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral', 'Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral']"
2020-01-17,"['Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral', 'Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral']"
2020-01-18,"['Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral', 'Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral']"
2020-01-19,"['Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral', 'Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral']"
2020-01-20,"['Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral', 'Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral']"
2020-01-21,"['Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral', 'Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral']"
2020-01-22,"['Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral', 'Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral']"
2020-01-23,"['Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral', 'Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral']"
2020-01-24,"['Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral', 'Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral']"
2020-01-25,"['Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral', 'Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral']"
2020-01-26,"['Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral', 'Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral']"
2020-01-27,"['Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral', 'Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral']"
2020-01-28,"['Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral', 'Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral']"
2020-01-29,"['Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral', 'Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral']"
2020-01-30,"['Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral', 'Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral']"
2020-01-31,"['Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral', 'Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral']"
2020-02-01,"['Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral', 'Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral']"
2020-02-02,"['Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral', 'Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral']"
2020-02-03,"['Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral', 'Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral']"
2020-02-04,"['Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral', 'Tata Consumer reports moderate India growth, Goldman Sachs maintains stock neutral']"
